Time:512Hz,Epoch,Oscillator 1,Oscillator 2,Oscillator 3,Oscillator 4,Oscillator 5,Oscillator 6,Oscillator 7,Oscillator 8,Oscillator 9,Oscillator 10,Oscillator 11,Oscillator 12,Oscillator 13,Oscillator 14,Oscillator 15,Oscillator 16,Oscillator 17,Oscillator 18,Oscillator 19,Event Id,Event Date,Event Duration
0.0000000000,0,0.5395749807,1.2523958683,-2.0399518013,0.7928013802,-1.2186400890,2.8049128056,-2.0274112225,0.8190140128,-1.9217357635,2.3054711819,-0.4878065288,0.1399618685,-1.2995328903,0.3305631876,1.2764133215,-0.4422789812,-0.1345185190,-1.4947880507,1.8163963556,,,
0.0019531250,0,0.3927837014,1.4876514673,-2.3266415596,1.0058717728,-1.1828780174,2.5162723064,-1.5034708977,-0.0752809942,-0.7077944875,1.0730522871,0.6874253750,-1.0135428905,-0.4936312437,0.1431376934,1.0579179525,0.1126755849,-1.2842818499,0.0330156311,0.4430379868,,,
0.0039062500,0,0.2528828084,1.6716706753,-2.4643220901,0.9393691421,-0.7537443042,1.8070003986,-0.6943784356,-0.9246613979,-0.0260610282,0.9455322623,0.2159248590,-0.1927188486,-1.6268582344,1.4653623104,0.1454522610,0.2156072408,-0.7385412455,-1.1720234156,2.4658527374,,,
0.0058593750,0,0.1219533682,1.7934468985,-2.4425337315,0.6354117990,-0.1218533665,1.1143122911,-0.3075779974,-0.8795902133,-0.5551894903,1.9839116335,-0.9108727574,0.3325616419,-1.3051921129,0.3913648427,1.9621000290,-1.9496072531,0.8117687702,-1.5575954914,1.8643934727,,,
0.0078125000,0,0.0019200334,1.8462389708,-2.2750804424,0.1995302737,0.4412814975,0.8523508906,-0.6903746128,-0.0343865454,-1.3958432674,2.4089553356,-0.4718669951,-1.1620693207,0.5950620174,-0.8817086220,2.1588146687,-1.1215902567,-0.8266256452,0.0727550611,1.4134159088,,,
0.0097656250,0,-0.1054822281,1.8280352354,-1.9978351593,-0.2284035981,0.6982380152,1.1639690399,-1.5523512363,0.6711189747,-1.2107208967,1.3047692776,1.0226684809,-2.2985775471,0.5743925571,0.4114870131,0.7112364173,-0.8248870969,0.1745866984,-1.4609525204,2.5466458797,,,
0.0117187500,0,-0.1987383217,1.7416876554,-1.6631115675,-0.5126405358,0.5461889505,1.8351997137,-2.1982238293,0.4145422876,0.0814688727,0.0202615466,1.2071486712,-1.3920135498,-0.5076384544,0.6069929600,1.8994394541,-2.5520496368,0.6078767776,0.1719467789,0.2225850970,,,
0.0136718750,0,-0.2765793800,1.5947071314,-1.3314762115,-0.5588685870,0.0604439862,2.4236302376,-2.0849561691,-0.6649442315,1.1929137707,0.1487478465,0.0233468283,-0.8360640407,0.5302123427,-0.9533303380,2.2392129898,-1.1843341589,-1.3057028055,0.8508659601,1.3722797632,,,
0.0156250000,0,-0.3380047381,1.3987334967,-1.0622799397,-0.3401504457,-0.5373737216,2.5238072872,-1.2577067614,-1.6034871340,1.0774571896,1.1390988827,-0.2051981837,-2.1876089573,1.8258740902,-0.2026286870,0.2532830834,-0.5854994655,-0.0278818775,0.0322676934,0.0859217048,,,
0.0175781250,0,-0.3822991550,1.1687186956,-0.9043816328,0.0956258774,-0.9730670452,2.0107505322,-0.3160328865,-1.5908371210,0.2361550480,1.1488139629,1.0831910372,-2.9640362263,0.7269249558,1.2511349916,0.6530225277,-1.9299637079,-0.5924336314,2.3708505630,-0.6641558409,,,
0.0195312500,0,-0.4090452492,0.9218789339,-0.8885096312,0.6388257146,-1.0359054804,1.1157547235,0.0626968071,-0.7912772298,0.0731682256,-0.1518138796,1.6718330383,-1.6782920361,-0.1186505035,0.2153481096,1.1872514486,-0.2570956349,-2.0125436783,1.3816988468,0.5065352917,,,
0.0214843750,0,-0.4181304872,0.6764885187,-1.0224505663,1.1480914354,-0.6679248214,0.2890710831,-0.3382447958,-0.1691325903,1.1141490936,-1.0649143457,0.4793002903,-0.8593389392,1.1566375494,0.0299754646,-0.9308624864,0.2860491276,-0.3005201519,1.5962107182,-1.4125583172,,,
0.0234375000,0,-0.4097490311,0.4506012499,-1.2898156643,1.4890826941,0.0112550100,-0.0683311820,-1.1050040722,-0.4973003864,2.3325378895,-0.4188255370,-0.5313810706,-1.9074295759,1.3734786510,1.9480855465,-1.0744739771,-1.0969785452,-1.2945040464,2.7614538670,0.3962129653,,,
0.0253906250,0,-0.3843980432,0.2607866526,-1.6525763273,1.5713161230,0.7545880675,0.1566589177,-1.5274814367,-1.5615078211,2.4331557751,0.6696987152,0.1692006737,-2.2611446381,-0.3355610967,1.8423906565,-0.0633357912,0.4338548183,-1.5292123556,0.6610583663,-0.1724778116,,,
0.0273437500,0,-0.3428687751,0.1209703907,-2.0569736958,1.3730064631,1.2915430069,0.7232009768,-1.1705541611,-2.3731291294,1.4761828184,0.4885097444,0.9753205180,-0.6441034675,-0.4737650752,0.6745078564,-1.7462015152,0.5353602171,0.5037721395,1.7322751284,-0.2269631028,,,
0.0292968750,0,-0.2862325907,0.0414590426,-2.4418833256,0.9471017718,1.4419081211,1.1824344397,-0.2254191488,-2.1734688282,0.7956322432,-0.6814849377,0.0082058776,0.2961834669,0.8390990496,1.9496588707,-2.1066298485,-1.1501203775,-0.6123670936,1.0031542778,1.3762404919,,,
0.0312500000,0,-0.2158218920,0.0282178279,-2.7483301163,0.4068572223,1.1913725138,1.1480216980,0.6399278045,-1.2041728497,1.3152897358,-0.9956997633,-1.5314718485,-0.6653898954,0.2042573243,2.6790506840,-0.4868253469,0.1108635291,0.2989622951,-0.5098725557,-0.4079906046,,,
0.0332031250,0,-0.1332066953,0.0824512169,-2.9286739826,-0.1051001027,0.6969512701,0.5292767882,0.8116373420,-0.4572191834,2.3841962814,0.1563701481,-1.4634513855,-0.8843127489,-1.1830121279,0.9822484851,-1.4261963367,-0.1805447489,1.9546047449,0.9494140744,1.1951153278,,,
0.0351562500,0,-0.0401668325,0.2005158514,-2.9540321827,-0.4557366967,0.2199705392,-0.4127446115,0.2180009931,-0.6599188447,2.5989949703,1.2152935266,-0.4606236815,0.7216896415,-0.2402070612,0.8827160597,-1.9535411596,-1.9490830898,0.5780539513,-0.8497924209,0.0807557628,,,
0.0371093750,0,0.0613393448,0.3741719127,-2.8187861443,-0.5579316020,0.0149419745,-1.2198148966,-0.6155548096,-1.5314915180,1.5768562555,0.7933816910,-0.8244285583,1.4275698662,0.9376875758,2.0282850266,-0.0029650482,-0.6248457432,1.9960596561,-0.4356642067,-0.6630198359,,,
0.0390625000,0,0.1692094654,0.5911552310,-2.5414679050,-0.3941956758,0.2213000059,-1.5092468262,-0.9883723259,-2.0704133511,0.4448353648,-0.2453563064,-2.3753013611,0.2180807292,-0.0965779498,0.6372475624,-0.3169290125,-0.8893309832,2.4855403900,0.5586565137,0.1689743102,,,
